,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-19,33.830000,34.060000,33.690000,33.950000,23.626914,8592900,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-20,33.830000,34.035000,33.520000,33.850000,23.618215,9541300,0.087500,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-21,33.800000,33.970000,33.120000,33.240000,23.192599,12078000,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-22,33.070000,33.820000,32.700000,33.240000,23.192599,10972000,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-25,33.450000,33.450000,33.000000,33.040000,23.053053,7404100,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-26,32.940000,33.190000,32.760000,32.810000,22.892574,7440300,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-27,32.680000,33.040000,32.240000,32.470000,22.655346,10626700,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-28,32.580000,33.260000,32.290000,32.330000,22.557663,13955400,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-01-29,32.450000,33.000000,32.330000,32.370000,22.585572,11500200,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-02-01,32.570000,32.950000,32.430000,32.920000,22.969325,7311100,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-02-02,32.990000,33.610000,32.620000,33.380000,23.290281,9421200,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-02-03,32.700000,33.030000,32.340000,32.420000,22.620459,13361800,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-02-04,32.420000,32.420000,31.130000,31.150000,21.734340,15837600,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-02-05,31.130000,31.500000,30.360000,31.070000,21.678521,25372800,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-02-08,33.920000,33.920000,32.360000,32.720000,22.829778,36924800,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-02-09,33.210000,33.250000,32.390000,32.720000,22.829778,15547500,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-02-10,32.760000,32.850000,32.330000,32.730000,22.836756,8070100,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
2010-02-11,32.720000,33.290000,32.650000,33.210000,23.171667,10367800,0.000000,1.000000,CVS,Common Stock,CVS Health Corp,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",https://www.cvshealth.com,December,2025-03-31,85300298000,13947000000,16.09,0.708,60.96,2.66,0.0386,4.19,299.18,0.014,0.035,0.0231,0.0693,376741003000,51016999000,4.19,0.602,0.069,79.73,8,13,7,0,0,16.09,11.47,0.226,1.109,0.406,10.38,0.561,72.51,42.57,65.14,60.49,1265020000,1262401000,1.073,87.365,2025-05-01,2025-04-22
